#C:/Users/KIMED 1/Documents/Junaidin/iGEMDOCKv2.1/output/extracted_cav/cav4mxo_DB8.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav4mxo_DB8-331567825-0.pdb	-80.2663	-58.6405	-21.6258	0	22.24
cav4mxo_DB8-340713872-0.pdb	-75.8085	-66.4123	-9.39619	0	22.2
cav4mxo_DB8-342542507-0.pdb	-88.6917	-64.5147	-24.177	0	18.5
cav4mxo_DB8-346327266-0.pdb	-78.4495	-70.8577	-7.59182	0	27.7895
cav4mxo_DB8-413438134-0.pdb	-79.4243	-72.4243	-7	0	21.2083
cav4mxo_DB8-432928489-0.pdb	-65.0375	-50.9013	-14.1362	0	23.1579
cav4mxo_DB8-434198808-0.pdb	-92.8277	-85.8277	-7	0	21.2143
cav4mxo_DB8-448539215-0.pdb	-90.7751	-76.122	-14.6531	0	21.4231
cav4mxo_DB8-465458184-0.pdb	-109.143	-89.2813	-19.8622	0	19.6765
cav4mxo_DB8-480424186-0.pdb	-99.9932	-82.1139	-17.8793	0	19.4138
cav4mxo_DB8-486493070-0.pdb	-102.092	-85.7448	-16.3469	0	22.6071
cav4mxo_DB8-486630701-0.pdb	-97.321	-74.7684	-22.5526	0	18.6552
cav4mxo_DB8-497645391-0.pdb	-87.6768	-61.5298	-26.147	0	17.375
cav4mxo_DB8-503630885-0.pdb	-107.767	-90.5445	-17.2228	0	22.5357
cav4mxo_DB8-505727902-0.pdb	-84.0403	-72.6228	-11.4175	0	26.6316
cav4mxo_DB8-513154648-0.pdb	-97.7862	-83.2576	-14.5286	0	16.1212
cav4mxo_DB8-522734250-0.pdb	-91.8688	-88.3688	-3.5	0	17.9063
cav4mxo_DB8-528132703-0.pdb	-95.823	-77.512	-18.311	0	27.0417
cav4mxo_DB8-528225338-0.pdb	-84.2288	-78.1066	-6.12221	0	22.5
cav4mxo_DB8-568475436-0.pdb	-90.1307	-72.6418	-17.489	0	26.2273
cav4mxo_DB8-574859244-0.pdb	-87.1361	-68.4028	-18.7334	0	24.125
cav4mxo_DB8-578223565-0.pdb	-77.2408	-67.1907	-10.0502	0	23.6
cav4mxo_DB8-579729807-0.pdb	-81.7118	-72.2118	-9.5	0	22.7273
cav4mxo_DB8-583242790-0.pdb	-92.7495	-81.1229	-11.6266	0	18.2759
cav4mxo_DB8-590839569-0.pdb	-107.811	-101.811	-6	0	19.8857
cav4mxo_DB8-614216777-0.pdb	-78.7974	-58.596	-20.2014	0	17.2692
cav4mxo_DB8-624177239-0.pdb	-80.2203	-69.7203	-10.5	0	19.9167
cav4mxo_DB8-624284667-0.pdb	-91.3976	-75.2979	-16.0997	0	24.9583
cav4mxo_DB8-630332898-0.pdb	-85.1421	-75.4769	-9.66523	0	21.9583
cav4mxo_DB8-630541635-0.pdb	-84.8979	-71.7355	-13.1624	0	23.1667
cav4mxo_DB8-630541638-0.pdb	-88.9326	-72.1746	-16.758	0	19.9583
cav4mxo_DB8-641655354-0.pdb	-87.4926	-77.4638	-10.0288	0	21.8333
cav4mxo_DB8-647138905-0.pdb	-90.8023	-73.7535	-17.0488	0	22.9583
cav4mxo_DB8-647138906-0.pdb	-82.9241	-76.9465	-5.97759	0	20.9167
cav4mxo_DB8-653474690-0.pdb	-77.7534	-58.0409	-19.7125	0	18.1818
cav4mxo_DB8-663701736-0.pdb	-85.5972	-71.2668	-14.3304	0	24.2609
cav4mxo_DB8-664587938-0.pdb	-66.9039	-56.4039	-10.5	0	18.4
cav4mxo_DB8-664681553-0.pdb	-83.8227	-73.8655	-9.95724	0	21.4348
cav4mxo_DB8-665705827-0.pdb	-83.3149	-63.9888	-19.3261	0	20.4545
cav4mxo_DB8-665709163-0.pdb	-72.2619	-62.1078	-10.154	0	26.3889
cav4mxo_DB8-665754685-0.pdb	-84.4088	-80.9088	-3.5	0	22.72
cav4mxo_DB8-668825398-0.pdb	-95.2493	-72.247	-23.0023	0	20.7308
