#C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/extracted_cav/cav1m17_AQ4.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/EGFRfarma/egfrnofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav1m17_AQ4-340713872-0.pdb	-84.4019	-65.4648	-18.9371	0	23.95
cav1m17_AQ4-342542507-0.pdb	-93.0586	-75.7677	-17.2909	0	19.9583
cav1m17_AQ4-346327266-0.pdb	-83.0455	-70.1422	-12.9032	0	22.6842
cav1m17_AQ4-413438134-0.pdb	-80.0604	-71.322	-8.73842	0	18.2083
cav1m17_AQ4-432928489-0.pdb	-72.075	-61.2061	-10.869	0	22.0526
cav1m17_AQ4-434198808-0.pdb	-102.418	-83.201	-19.2173	0	21.2857
cav1m17_AQ4-448539215-0.pdb	-96.5302	-73.536	-22.9942	0	20.3846
cav1m17_AQ4-465458184-0.pdb	-111.666	-97.6885	-13.9778	0	21.1765
cav1m17_AQ4-480424186-0.pdb	-100.478	-89.1008	-11.3768	0	20.8966
cav1m17_AQ4-486493070-0.pdb	-113.39	-99.7641	-13.6263	0	22.3929
cav1m17_AQ4-486630701-0.pdb	-105.024	-89.439	-15.5855	0	22.3448
cav1m17_AQ4-497645391-0.pdb	-92.9533	-70.5902	-22.3632	0	20.3333
cav1m17_AQ4-503630885-0.pdb	-94.7836	-77.2401	-17.5435	0	17.9643
cav1m17_AQ4-505727902-0.pdb	-76.6988	-64.8167	-11.882	0	25.2105
cav1m17_AQ4-513154648-0.pdb	-101.597	-83.2706	-18.3264	0	18.5152
cav1m17_AQ4-522734250-0.pdb	-127.226	-100.222	-27.0038	0	23.125
cav1m17_AQ4-528132703-0.pdb	-91.1076	-74.9678	-16.1397	0	22.875
cav1m17_AQ4-528225338-0.pdb	-83.7611	-74.6182	-9.14289	0	21.9091
cav1m17_AQ4-568475436-0.pdb	-87.1882	-62.1038	-25.0844	0	21.2273
cav1m17_AQ4-574859244-0.pdb	-91.3194	-80.5564	-10.763	0	20.4167
cav1m17_AQ4-578223565-0.pdb	-95.6618	-75.9975	-19.6643	0	28.7
cav1m17_AQ4-579729807-0.pdb	-92.1263	-74.6696	-17.4567	0	22.9091
cav1m17_AQ4-583242790-0.pdb	-99.942	-81.1275	-18.8144	0	20.1034
