Compound	Energy	VDW	HBond	Elec	
cav4mxo_DB8-ZINC02448904-0.pdb	-95.3941	-86.3829	-9.01119	0	
cav4mxo_DB8-ZINC02501740-0.pdb	-104.915	-77.4011	-25.7964	-1.71772	
cav4mxo_DB8-ZINC02501768-0.pdb	-98.0778	-81.1034	-16.5935	-0.38091	
cav4mxo_DB8-ZINC02520133-0.pdb	-99.033	-84.1306	-14.9024	0	
cav4mxo_DB8-ZINC02755746-0.pdb	-83.8939	-71.1012	-12.7927	0	
cav4mxo_DB8-ZINC02769766-0.pdb	-86.4456	-75.9456	-10.5	0	
cav4mxo_DB8-ZINC02872410-0.pdb	-84.1431	-73.1727	-10.9704	0	
cav4mxo_DB8-ZINC03046649-0.pdb	-95.7805	-86.0959	-9.68461	0	
cav4mxo_DB8-ZINC03086551-0.pdb	-80.3398	-77.8398	-2.5	0	
cav4mxo_DB8-ZINC03114286-0.pdb	-67.9304	-67.9304	0	0	
cav4mxo_DB8-ZINC03178174-0.pdb	-80.3977	-80.3977	0	0	
cav4mxo_DB8-ZINC03194765-0.pdb	-93.5574	-79.1786	-14.3788	0	
cav4mxo_DB8-ZINC03227646-0.pdb	-88.9512	-83.9533	-4.99794	0	
cav4mxo_DB8-ZINC03335957-0.pdb	-75.3864	-61.5099	-13.8765	0	
cav4mxo_DB8-ZINC03336406-0.pdb	-96.7526	-81.3597	-14.2162	-1.17666	
cav4mxo_DB8-ZINC03348127-0.pdb	-80.7428	-77.2428	-3.5	0	
cav4mxo_DB8-ZINC03353030-0.pdb	-87.1052	-75.1915	-11.9137	0	
cav4mxo_DB8-ZINC03414144-0.pdb	-98.5269	-89.4175	-9.10945	0	
cav4mxo_DB8-ZINC03458630-0.pdb	-93.0553	-84.2256	-8.82973	0	
cav4mxo_DB8-ZINC03532252-0.pdb	-83.2017	-73.8576	-9.34405	0	
cav4mxo_DB8-ZINC03552616-0.pdb	-91.65	-77.8927	-13.7573	0	
cav4mxo_DB8-ZINC03618394-0.pdb	-106.38	-78.7565	-26.4206	-1.20261	
cav4mxo_DB8-ZINC03667880-0.pdb	-93.0858	-61.9909	-32.1179	1.02302	
cav4mxo_DB8-ZINC03671592-0.pdb	-57.9666	-55.9374	-2.02917	0	
cav4mxo_DB8-ZINC03841348-0.pdb	-91.1862	-83.2863	-7.8999	0	
cav4mxo_DB8-ZINC03906401-0.pdb	-74.5125	-63.9177	-10.5948	0	
cav4mxo_DB8-ZINC03913694-0.pdb	-68.578	-56.4258	-12.1522	0	
cav4mxo_DB8-ZINC03947335-0.pdb	-62.4352	-51.0302	-11.405	0	
cav4mxo_DB8-ZINC03948705-0.pdb	-70.7817	-62.4925	-8.28922	0	
cav4mxo_DB8-ZINC04042773-0.pdb	-95.444	-78.2876	-17.1564	0	
cav4mxo_DB8-ZINC04066587-0.pdb	-103.411	-90.9997	-14.3574	1.94566	
cav4mxo_DB8-ZINC04087123-0.pdb	-86.8164	-79.9202	-6.89621	0	
cav4mxo_DB8-ZINC04100146-0.pdb	-83.4939	-78.0182	-5.47573	0	
cav4mxo_DB8-ZINC04143491-0.pdb	-88.392	-69.6043	-18.7877	0	
cav4mxo_DB8-ZINC04147723-0.pdb	-80.3561	-68.8272	-11.5289	0	
cav4mxo_DB8-ZINC04211012-0.pdb	-107.692	-94.4671	-13.2253	0	
cav4mxo_DB8-ZINC04212939-0.pdb	-81.0541	-67.2742	-13.7799	0	
cav4mxo_DB8-ZINC04222289-0.pdb	-89.1153	-79.2872	-11.8675	2.0394	
cav4mxo_DB8-ZINC04280702-0.pdb	-80.9201	-74.1636	-6.7565	0	
cav4mxo_DB8-ZINC04390244-0.pdb	-59.6759	-55.7816	-3.89429	0	
cav4mxo_DB8-ZINC04402018-0.pdb	-94.7896	-76.5744	-18.2152	0	
cav4mxo_DB8-ZINC04531978-0.pdb	-82.0623	-77.9619	-4.10041	0	
cav4mxo_DB8-ZINC04571436-0.pdb	-77.2016	-58.2593	-18.9423	0	
cav4mxo_DB8-ZINC04575379-0.pdb	-85.6993	-76.7415	-8.95779	0	
cav4mxo_DB8-ZINC04690615-0.pdb	-83.1416	-71.6801	-11.4615	0	
cav4mxo_DB8-ZINC04708164-0.pdb	-85.4871	-81.9871	-3.5	0	
cav4mxo_DB8-ZINC04733165-0.pdb	-97.7866	-94.2866	-3.5	0	
cav4mxo_DB8-ZINC04761684-0.pdb	-71.088	-58.088	-13	0	
cav4mxo_DB8-ZINC04829816-0.pdb	-61.0703	-52.5703	-8.5	0	
cav4mxo_DB8-ZINC04952176-0.pdb	-97.626	-78.7323	-17.3207	-1.57298	
cav4mxo_DB8-ZINC05020126-0.pdb	-63.1677	-59.6677	-3.5	0	
cav4mxo_DB8-ZINC05037548-0.pdb	-83.9293	-81.5444	-2.38492	0	
cav4mxo_DB8-ZINC05065024-0.pdb	-63.27	-46.77	-16.5	0	
cav4mxo_DB8-ZINC05081411-0.pdb	-91.3662	-78.7795	-12.5867	0	
cav4mxo_DB8-ZINC05259332-0.pdb	-89.7165	-79.3037	-10.4128	0	
cav4mxo_DB8-ZINC05399309-0.pdb	-107.468	-68.6838	-38.7844	0	
cav4mxo_DB8-ZINC05409187-0.pdb	-96.3069	-80.364	-15.9429	0	
cav4mxo_DB8-ZINC05510640-0.pdb	11.9674	26.0757	-13	-1.10834	
cav4mxo_DB8-ZINC05603884-0.pdb	-89.7548	-74.8902	-14.8646	0	
cav4mxo_DB8-ZINC05603887-0.pdb	-80.1865	-75.8635	-4.32303	0	
cav4mxo_DB8-ZINC05687221-0.pdb	-71.3402	-55.7697	-15.5705	0	
cav4mxo_DB8-ZINC05753129-0.pdb	-89.2323	-84.2724	-4.95993	0	
cav4mxo_DB8-ZINC05758789-0.pdb	-91.2323	-84.2323	-7	0	
cav4mxo_DB8-ZINC05777875-0.pdb	-75.65	-70.8223	-4.82765	0	
cav4mxo_DB8-ZINC05891423-0.pdb	-78.0824	-73.0824	-5	0	
cav4mxo_DB8-ZINC05928133-0.pdb	-89.4601	-63.8193	-25.6408	0	
cav4mxo_DB8-ZINC06194067-0.pdb	-74.1276	-56.6754	-17.4522	0	
cav4mxo_DB8-ZINC06343839-0.pdb	-90.3585	-77.2276	-13.1309	0	
cav4mxo_DB8-ZINC06407527-0.pdb	-86.8845	-68.1086	-19.0662	0.290251	
cav4mxo_DB8-ZINC06419797-0.pdb	-85.3283	-63.1942	-22.1341	0	
cav4mxo_DB8-ZINC06443613-0.pdb	-105.332	-91.5647	-13.7668	0	
cav4mxo_DB8-ZINC06504926-0.pdb	-69.7597	-55.0908	-14.7319	0.0630098	
cav4mxo_DB8-ZINC06592879-0.pdb	-83.7348	-74.4704	-9.26445	0	
cav4mxo_DB8-ZINC06606332-0.pdb	-77.4318	-57.4196	-20.5643	0.552129	
cav4mxo_DB8-ZINC06606334-0.pdb	-69.9111	-56.3885	-13.2739	-0.248718	
cav4mxo_DB8-ZINC06624002-0.pdb	-87.8235	-72.204	-15.6195	0	
cav4mxo_DB8-ZINC06779805-0.pdb	-74.3351	-71.8351	-2.5	0	
cav4mxo_DB8-ZINC06831628-0.pdb	-75.047	-57.547	-17.5	0	
cav4mxo_DB8-ZINC06919967-0.pdb	-93.2132	-87.3293	-5.88386	0	
cav4mxo_DB8-ZINC06952106-0.pdb	-82.935	-63.9772	-18.9578	0	
cav4mxo_DB8-ZINC07125545-0.pdb	-93.8023	-84.6005	-9.20182	0	
cav4mxo_DB8-ZINC07852729-0.pdb	-96.7729	-83.7359	-13.037	0	
cav4mxo_DB8-ZINC08236667-0.pdb	-78.2977	-67.7977	-10.5	0	
cav4mxo_DB8-ZINC08269586-0.pdb	-92.769	-77.4866	-15.2824	0	
cav4mxo_DB8-ZINC08269589-0.pdb	-102.765	-88.843	-13.922	0	
cav4mxo_DB8-ZINC08320036-0.pdb	-85.3775	-78.3775	-7	0	
cav4mxo_DB8-ZINC08340360-0.pdb	-76.1449	-64.6105	-11.5344	0	
cav4mxo_DB8-ZINC08430576-0.pdb	-97.5025	-95.1114	-2.39113	0	
cav4mxo_DB8-ZINC08442121-0.pdb	-108.423	-102.423	-6	0	
cav4mxo_DB8-ZINC08598715-0.pdb	-96.8726	-95.1491	-1.72353	0	
cav4mxo_DB8-ZINC08602853-0.pdb	-70.4693	-54.4168	-16.0525	0	
cav4mxo_DB8-ZINC08644689-0.pdb	-96.7132	-93.0952	-3.61802	0	
cav4mxo_DB8-ZINC08645342-0.pdb	-86.0023	-75.8369	-10.1654	0	
cav4mxo_DB8-ZINC08674008-0.pdb	-96.5306	-83.6818	-12.8488	0	
cav4mxo_DB8-ZINC08681444-0.pdb	-80.8697	-68.9234	-11.9463	0	
cav4mxo_DB8-ZINC08690289-0.pdb	-96.0351	-77.6881	-18.347	0	
cav4mxo_DB8-ZINC08748481-0.pdb	-91.3509	-82.4102	-8.94066	0	
cav4mxo_DB8-ZINC08764093-0.pdb	-67.0161	-55.0728	-11.9433	0	
cav4mxo_DB8-ZINC08771546-0.pdb	-107.318	-100.17	-7.14812	0	
cav4mxo_DB8-ZINC08789213-0.pdb	-97.7867	-83.2404	-14.5463	0	
cav4mxo_DB8-ZINC08817793-0.pdb	-102.594	-95.4457	-7.14847	0	
cav4mxo_DB8-ZINC08837390-0.pdb	-82.7958	-80.2958	-2.5	0	
cav4mxo_DB8-ZINC08854899-0.pdb	-112.683	-82.1838	-29.0777	-1.42128	
cav4mxo_DB8-ZINC08868488-0.pdb	-96.7705	-81.9245	-14.846	0	
cav4mxo_DB8-ZINC08870374-0.pdb	-97.3845	-78.3932	-18.9913	0	
cav4mxo_DB8-ZINC08876817-0.pdb	-89.6877	-74.7417	-14.946	0	
cav4mxo_DB8-ZINC08886751-0.pdb	-84.433	-69.8666	-14.5664	0	
cav4mxo_DB8-ZINC08917797-0.pdb	-93.0592	-80.3956	-12.6636	0	
cav4mxo_DB8-ZINC08927174-0.pdb	-83.4324	-83.4324	0	0	
cav4mxo_DB8-ZINC08948543-0.pdb	-95.3384	-76.278	-19.0604	0	
